Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
22826684,Tracteur Volvo FH 500,301 813 km,13/07/2021,Gazoil,Volvo,18.480,ESPAGNE,13950,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11173947-foto-cabeza_tractora_th.jpg,7.85 Tonnes,18 Tonnes,4x2,450,Occasion
23399248,Tracteur produits dangereux / adr DAF XF 480,708 832 km,07/06/2019,Gazoil,DAF,480,ESPAGNE,42950,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11164959-foto-cabeza_tractora_th.jpg,7.66 Tonnes,18 Tonnes,4x4,479,Occasion
23399291,Tracteur Volvo FH16 750,363 798 km,04/10/2018,Gazoil,Volvo,460,ESPAGNE,48950,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11164925-foto-cabeza_tractora_th.jpg,8.2 Tonnes,18 Tonnes,4x2,420,Occasion
SIT_7452KFC,Tracteur Renault T-Series 480,353 629 km,06/02/2014,Gazoil,Renault,450,ESPAGNE,15950,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11157220-foto-cabeza_tractora_th.jpg,10.38 Tonnes,18 Tonnes,4x2,479,Occasion
XLRTEF5300G434053,Tracteur Volvo FH 500,322 119 km,27/01/2022,Gazoil,Volvo,450,ESPAGNE,15950,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11168541-foto-cabeza_tractora_th.jpg,7.57 Tonnes,18 Tonnes,6x4,429,Occasion
XLRTEH4300G343440,Tracteur Volvo FH 540,377 425 km,13/03/2020,Gazoil,Volvo,490,ESPAGNE,33900,"CAMIONES GÓMEZ, S.L.", Valencia,https://photo.static-viamobilis.com/31/1/11164920-foto-cabeza_tractora_th.jpg,7.07 Tonnes,44 Tonnes,4x2,440,Occasion
XLRTEH4300G428079,Tracteur DAF CF 460 Spacecab Euro 6,327 271 km,04/01/2016,Gazoil,DAF,420,PAYS-BAS,7950,KAUS TRUCKS, Gelderland,https://photo.static-viamobilis.com/31/1/10744900_th.jpg,6.95 Tonnes,44 Tonnes,4x2,420,Occasion
XLRTEF5300G430386,Tracteur DAF XF460 Spacecab Euro 6,311 457 km,15/12/2014,Gazoil,DAF,520 T4X2 E6,PAYS-BAS,16950,KAUS TRUCKS, Gelderland,https://photo.static-viamobilis.com/31/1/9663080_th.jpg,7.99 Tonnes,44 Tonnes,4x2,460,Occasion
XLRTEH4300G426950,Tracteur DAF 480 XF SSC PTO+ HYDR. ALCOA,342 000 km,01/04/2019,Gazoil,DAF,1843,PAYS-BAS,7950,KLEYN TRUCKS BV, Gelderland,https://photo.static-viamobilis.com/31/1/10966474_th.jpg,11 Tonnes,18 Tonnes,4x2,411,Occasion
XLRTEF5300G411265,Tracteur MAN TGX 18.500 XLX RETARDER 2X TANK,362 134 km,01/02/2019,Gazoil,MAN,460,PAYS-BAS,53950,KLEYN TRUCKS BV, Gelderland,https://photo.static-viamobilis.com/31/1/10859984_th.jpg,8.02 Tonnes,44 Tonnes,4x2,440,Occasion
XLRTEF5300G410585,Tracteur Scania G 420,331 470 km,01/07/2012,Gazoil,Scania,18.480,PAYS-BAS,7950,KLEYN TRUCKS BV, Gelderland,https://photo.static-viamobilis.com/31/1/10920344_th.jpg,7.8 Tonnes,44 Tonnes,4x2,394,Occasion
