Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
13224,Tracteur Renault T-Series 480 T4X2 E6,272000.0,2024-11-27,Gazoil,Renault,460,FRANCE,1420,EASY LOCATION,MaineetLoire,7.69,18.0,4x2,480.0,Occasion
vs_20240912.11,Tracteur DAF 480 CF+56Ton+Big Axle+Intarder+Hydr.,371000.0,2018-04-04,Gazoil,DAF,490,FRANCE,1100,BRAEM FRANCE SA,Nord,7.98,19.0,4x2,430.0,Occasion
1717626,Tracteur DAF 480 XF TF (50T.),300000.0,2020-01-14,Gazoil,DAF,450,FRANCE,1090,BRAEM FRANCE SA,Nord,7.99,19.0,4x2,500.0,Occasion
P136,Tracteur DAF 480 XF SC 4x2 | Leasing from €2036/month,350000.0,2022-05-19,Gazoil,DAF,460,FRANCE,1215,SPARDEX,Nord,8.15,44.0,4x2,750.0,Occasion
AE362NZ,Tracteur Ford F-Max 500 | Leasing from €1420/month,339000.0,2023-04-19,Gazoil,Ford,460,FRANCE,790,SPARDEX,Nord,7.84,19.0,4x2,34.0,Occasion
FA209GJ,Tracteur Iveco S-WAY AS440S48T | Leasing from €1744/month,369875.0,2020-01-22,Gazoil,Iveco,580,FRANCE,795,SPARDEX,Nord,7.96,19.0,6x4,460.0,Occasion
47391,Tracteur Volvo F6 FH 460 Globetrotter 4x2 | Leasing,409000.0,2021-04-08,Gazoil,Volvo,480,FRANCE,1130,SPARDEX,Nord,8.89,19.0,4x2,34.0,Occasion
DR522HX,Tracteur Ford F-Max 500 | Leasing from €1559/month,269570.0,2019-06-28,Gazoil,Ford,530,FRANCE,780,SPARDEX,Nord,8.4,19.0,4x2,479.0,Occasion
ENSEMBLE,Tracteur DAF XF 450FT,400000.0,2019-10-18,Gazoil,DAF,18.500 XXL,FRANCE,990,DPL 21,Côted'Or,9.54,18.0,4x2,479.0,Occasion - Accidenté
GL024,Tracteur Renault T-Series,365300.0,2022-08-29,GNV,Renault,18.440,FRANCE,1155,RENAULT TRUCKS GRAND PARIS Centre occasion GONESSE,Vald'Oise,7.45,19.0,4x2,750.0,Occasion
389623,Tracteur Volvo FH 460 Globetrotter,170000.0,2023-03-04,Gazoil,Volvo,520,FRANCE,840,GROUPE ARROUZE,PyrénéesAtlantiques,8.37,18.0,4x2,500.0,Occasion
109,Tracteur produits dangereux / adr MAN 18.480 TGX 18.480 4x2 BL SA,344200.0,2023-12-01,Gazoil,MAN,440,FRANCE,790,MAN TopUsed Rouen,SeineMaritime,8.32,19.0,4x2,370.0,Occasion
432,Tracteur Scania G 490,390000.0,2016-05-09,Gazoil,Scania,AS 440 S 48,FRANCE,1095,Travaux 101 souci,Jura,10.1,19.0,4x2,460.0,Occasion
50,Tracteur DAF XF 480,492000.0,2021-12-24,Gazoil,DAF,730,FRANCE,790,H&A International Trucks,AlpesMaritimes,8.18,26.0,4x2,480.0,Occasion
473,Tracteur Mercedes Actros 1845 L,415000.0,2020-03-12,Gazoil,Mercedes,460,FRANCE,935,Mercedes-Benz Trucks BYmyCAR Côte d’Azur,Var,8.35,19.0,4x2,460.0,Occasion
ET071FN,Tracteur Mercedes Actros 1845 L,435000.0,2020-03-12,Gazoil,Mercedes,480,FRANCE,1175,Mercedes-Benz Trucks BYmyCAR Côte d’Azur,Var,8.21,18.0,4x2,480.0,Occasion
T977,Tracteur Iveco Stralis NP400,328501.0,2017-08-29,Gazoil,Iveco,18.580 XXL,FRANCE,2800,Hely Négoce SAS,Nord,7.37,19.5,4x2,480.0,Occasion
DAF XF,Tracteur Mercedes Actros 1845,600000.0,2013-12-04,Gazoil,Mercedes,480 FT,FRANCE,1509,GUAINVILLE INTERNATIONAL,Yvelines,7.85,19.8,4x2,460.0,Occasion
DAF,Tracteur MAN TGS 18.440,361176.0,2017-09-01,Gazoil,MAN,480 FT,FRANCE,1386,GUAINVILLE INTERNATIONAL,Yvelines,7.7,19.0,4x2,500.0,Occasion
68417,Tracteur DAF XF460,398435.0,2014-05-15,Gazoil,DAF,480 FT,FRANCE,1920,GUAINVILLE INTERNATIONAL,Yvelines,10.67,19.0,4x2,480.0,Occasion
30013411,Tracteur Iveco Stralis AS440S40TP LNG,311728.0,2018-09-13,Gazoil,Iveco,480 T4X2 E6,FRANCE,1458,MELUN POIDS LOURDS,SeineetMarne,7.41,19.0,4x2,460.0,Occasion
30013131,Tracteur Renault T-Series,400013.0,2023-01-01,Gazoil,Renault,500 Globetrotter XL,FRANCE,1169,CLOVIS LOCATION CARCASSONNE,Aude,8.5,26.0,4x2,420.0,Occasion
