Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
196 BED 34,Tracteur Renault T-Series 460 Gamme T,960 000 km,07/03/2019,Gazoil,Renault,AD 380 T 38,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10995113_th.jpg,19 Tonnes,19 Tonnes,4x2,480,Occasion
CK 352 QZ,Tracteur Mercedes Actros 1845,835 000 km,21/06/2016,Gazoil,Mercedes,420,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/9403635_th.jpg,5.89 Tonnes,19 Tonnes,4x2,500,Occasion
GJ 597 KJ,Tracteur Scania,713 000 km,09/05/2017,Gazoil,Scania,440,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/11032843_th.jpg,7.5 Tonnes,19 Tonnes,4x2,479,Occasion
DBL51,Tracteur MAN TGX 18.440,839 000 km,26/10/2015,Gazoil,MAN,750,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10472428_th.jpg,8.32 Tonnes,19 Tonnes,6x4,479,Occasion
220779,Tracteur Volvo FH 480,496 868 km,09/01/2007,Gazoil,Volvo,460,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/7915618_th.jpg,7.66 Tonnes,44 Tonnes,4x2,500,Occasion
FC772YC,Tracteur Volvo FMX 460,482 717 km,21/03/2016,Gazoil,Volvo,480.19 DTI 13,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10520847_th.jpg,8.03 Tonnes,44 Tonnes,4x2,479,Occasion
195-24,Tracteur DAF XF460,714 000 km,09/02/2015,Gazoil,DAF,480,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10764493_th.jpg,7.88 Tonnes,19 Tonnes,4x2,500,Occasion
GN818,Tracteur Renault Premium 410 DXI,733 000 km,06/02/2007,Gazoil,Renault,460,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/9601944_th.jpg,9.55 Tonnes,19 Tonnes,4x2,470,Occasion
FX248,Tracteur Iveco Eurotrakker 720E42,862 000 km,08/08/1998,Gazoil,Iveco,420,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/11101492_th.jpg,7.26 Tonnes,19 Tonnes,4x2,470,Occasion
71827,Tracteur MAN TGS 18.460,423 000 km,14/04/2017,Gazoil,MAN,450,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10865967_th.jpg,19 Tonnes,19 Tonnes,4x2,500,Occasion
71832,Tracteur Renault 440 Gamme T,362 600 km,09/10/2015,Gazoil,Renault,480,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/9500058_th.jpg,8.17 Tonnes,44 Tonnes,4x2,479,Occasion
71841,Tracteur Scania R 480,349 700 km,06/02/2007,Gazoil,Scania,460,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/9552562_th.jpg,8 Tonnes,18 Tonnes,4x2,479,Occasion
